Day,Geothermal,Hydro,Photovoltaic,Self-consumption,Thermal,Wind,Total,Media
2021-01-01,14.51,89.63,16.05,50.382,330.61,72.98,574.162,95.69366666666667
2021-01-02,14.85,104.73,12.13,50.145,321.78,108.78,612.415,102.06916666666666
2021-01-03,14.879999999999999,95.89,17.11,52.486,324.12,77.58,582.066,97.01100000000001
2021-01-04,14.879999999999999,137.4,20.19,71.885,467.7,43.230000000000004,755.2850000000001,125.88083333333334
2021-01-05,14.87,137.5,14.65,72.799,496.40999999999997,79.59,815.8190000000001,135.96983333333336
2021-01-06,14.879999999999999,115.39,15.58,67.891,453.59000000000003,74.25,741.5810000000001,123.59683333333335
2021-01-07,14.879999999999999,153.27,12.75,85.866,582.35,31.89,881.006,146.83433333333332
2021-01-08,14.879999999999999,143.29,20.69,91.34,580.36,48.35,898.91,149.81833333333333
2021-01-09,14.879999999999999,110.42,8.77,67.326,459.17,61.92,722.486,120.41433333333333
2021-01-10,14.89,89.58,7.93,65.088,436.17,52.23,665.888,110.98133333333334
2021-01-11,15.01,127.41,23.44,96.721,607.71,34.93,905.221,150.87016666666668
2021-01-12,14.98,119.93,30.169999999999998,89.199,553.28,48.64,856.199,142.69983333333332
2021-01-13,14.719999999999999,138.92,37.64,84.759,488.68,86.31,851.029,141.83816666666667
2021-01-14,14.76,138.95,32.66,89.924,534.09,110.07,920.454,153.409
2021-01-15,14.879999999999999,135.39,16.57,92.744,595.83,61.17,916.584,152.76399999999998
2021-01-16,15.07,106.63,34.1,69.519,393.15,94.59,713.059,118.84316666666666
2021-01-17,15.1,90.17,15.75,60.492,390.24,62.81,634.5619999999999,105.76033333333332
2021-01-18,15.09,127.48,33.14,96.463,564.2,65.8,902.173,150.36216666666667
2021-01-19,14.98,117.15,30.68,97.068,592.61,47.53,900.018,150.00300000000001
2021-01-20,14.89,105.92,23.04,91.524,571.21,81.07,887.654,147.94233333333332
2021-01-21,14.81,111.5,14.34,77.633,497.91,94.5,810.693,135.1155
2021-01-22,15.14,124.76,11.44,66.198,433.37,136.09,786.998,131.16633333333334
2021-01-23,15.31,106.5,21.92,46.484,290.91,158.85,639.974,106.66233333333334
2021-01-24,15.36,103.39,13.08,40.95,263.85,139.99,576.6200000000001,96.10333333333335
2021-01-25,15.26,141.02,22.05,73.351,436.04,132.59,820.311,136.7185
2021-01-26,14.84,139.05,44.25,86.597,458.45,128.09,871.277,145.21283333333335
2021-01-27,15.1,132.59,32.74,92.81400000000001,539.72,52.57,865.5340000000001,144.25566666666668
2021-01-28,15.19,130.56,32.59,84.42999999999999,490.40999999999997,70.12,823.3,137.21666666666667
2021-01-29,15.31,132.85999999999999,19.58,64.585,393.5,136.49,762.325,127.05416666666667
2021-01-30,15.280000000000001,100.3,35.38,54.528,305.96,105.33,616.778,102.79633333333334
2021-01-31,15.47,94.4,16.88,47.931,296.66,116.74,588.081,98.01350000000001
2021-02-01,15.600000000000001,140.98,22.84,87.047,456.8,66.83,790.0970000000001,131.68283333333335
2021-02-02,15.46,123.64,36.37,101.571,513.52,33.75,824.3109999999999,137.38516666666666
2021-02-03,15.33,134.16,28.39,91.361,471.59000000000003,77.01,817.841,136.30683333333334
2021-02-04,15.33,134.05,25.9,90.209,458.33,56.79,780.6089999999999,130.1015
2021-02-05,15.49,151.42000000000002,30.2,87.687,455.73,41.28,781.807,130.30116666666666
2021-02-06,15.450000000000001,109.5,30.34,58.569,301.43,55.9,571.189,95.19816666666667
2021-02-07,15.440000000000001,83.44,11.969999999999999,44.521,246.0,101.23,502.601,83.76683333333334
2021-02-08,15.26,135.77,37.49,70.638,339.12,141.53,739.808,123.30133333333333
2021-02-09,15.120000000000001,151.76,27.61,78.032,403.27,142.88,818.6719999999999,136.4453333333333
2021-02-10,15.41,162.95,22.69,88.859,469.95,134.46,894.319,149.05316666666667
2021-02-11,15.32,179.51,48.13,105.277,519.94,89.6,957.777,159.6295
2021-02-12,15.450000000000001,154.05,21.79,99.312,533.32,26.83,850.7520000000001,141.792
2021-02-13,15.2,126.11,25.509999999999998,70.98,351.9,81.75,671.45,111.90833333333335
2021-02-14,14.79,99.91,51.63,65.813,284.45,132.64000000000001,649.233,108.20549999999999
2021-02-15,14.97,142.18,56.44,91.55199999999999,411.58,98.72,815.442,135.907
2021-02-16,14.879999999999999,142.19,44.22,101.941,480.5,46.24,829.971,138.3285
2021-02-17,14.87,144.73,38.74,100.111,484.76,35.79,819.001,136.50016666666667
2021-02-18,14.86,134.23,42.51,96.873,483.76,10.89,783.1229999999999,130.5205
2021-02-19,15.120000000000001,133.84,39.71,91.282,470.52,27.04,777.512,129.58533333333332
2021-02-20,15.13,102.49,45.78,72.177,341.61,17.04,594.227,99.03783333333332
2021-02-21,15.16,82.68,45.14,57.257,269.52,33.9,503.657,83.94283333333333
2021-02-22,15.23,115.71,40.63,88.392,453.83,32.43,746.2219999999999,124.3703333333333
2021-02-23,15.35,118.82,52.31,97.891,475.45,31.62,791.4409999999999,131.9068333333333
2021-02-24,15.2,112.52,59.919999999999995,95.842,447.77,52.49,783.742,130.62366666666665
2021-02-25,15.36,131.68,60.22,98.186,456.94,15.45,777.836,129.63933333333333
2021-02-26,15.26,129.21,59.47,94.334,454.40999999999997,5.24,757.924,126.32066666666667
2021-02-27,15.450000000000001,101.44,52.96,75.083,341.35,30.53,616.813,102.80216666666666
2021-02-28,15.36,80.25,62.56,63.57,257.14,79.41,558.29,93.04833333333333
2021-03-01,15.23,124.44,66.60000000000001,92.407,422.24,46.95,767.867,127.97783333333332
