reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2021,7(a),11.106667,45.123611,Ammonia (NH3),31920.0,375.24594232047895,0,0,1,0,0,0,0,0
2021,7(a),10.7394,45.3317,Ammonia (NH3),27910.6,406.6374781001603,0,0,1,0,0,0,0,0
2021,1(c),11.7654,42.1231,Carbon dioxide (CO2),530453000.0,65.17174386427507,0,1,0,0,0,0,0,0
2022,2(b),12.6667,42.5667,Nitrogen oxides (NOX),510200.0,75.14187357873665,0,0,0,0,0,0,1,0
2022,5(d),10.9386,44.3408,Methane (CH4),133874.2,299.1115060532361,0,0,0,0,0,0,0,1
2022,7(a),12.386111,44.053333,Ammonia (NH3),12070.0,239.2965497068425,0,0,1,0,0,0,0,0
2024,7(a),10.4919,45.3809,Ammonia (NH3),30400.0,418.99815196073837,0,0,1,0,0,0,0,0
2024,2(e),10.3928,45.4767,Polychlorinated biphenyls (PCBs),1.15,431.85393204495546,0,0,0,0,0,0,1,0
2022,7(a),9.9147,45.4508,Ammonia (NH3),12070.0,445.75603623783854,0,0,1,0,0,0,0,0
2022,1(c),17.9919,40.6411,Carbon dioxide (CO2),2428705000.0,480.12109605671674,0,1,0,0,0,0,0,0
2022,7(a),9.5606,45.3256,Ammonia (NH3),22530.0,447.93657561176553,0,0,1,0,0,0,0,0
2022,7(a),10.3821,45.4863,Ammonia (NH3),24050.0,433.1673437506241,0,0,1,0,0,0,0,0
2022,7(a),10.1494,45.3306,Ammonia (NH3),18530.0,425.3632019373156,0,0,1,0,0,0,0,0
2022,7(a),7.5633,44.6922,Ammonia (NH3),12013.0,505.3940875422444,0,0,1,0,0,0,0,0
2023,7(a),13.248906,43.488567,Ammonia (NH3),28833.0,186.74351747192836,0,0,1,0,0,0,0,0
2024,7(a),13.29075,46.104806,Ammonia (NH3),14335.0,471.53415372095014,0,0,1,0,0,0,0,0
2024,7(a),9.9278,45.4336,Ammonia (NH3),37490.0,443.58762798868474,0,0,1,0,0,0,0,0
2021,7(a),9.3267,45.4119,Ammonia (NH3),17232.0,466.03621859810676,0,0,1,0,0,0,0,0
2023,4(e),8.9767,45.0575,Non-methane volatile organic compounds (NMVOC),181370.0,451.2332413641436,1,0,0,0,0,0,0,0
2022,3(e),12.2592,45.4644,Sulphur oxides (SOX),180450.0,396.4903506366455,0,0,0,1,0,0,0,0
2024,4(e),9.3747,45.4044,Hydro-fluorocarbons (HFCS),496.0,463.2452754182313,1,0,0,0,0,0,0,0
2024,4(e),9.7828,45.6836,Hydro-fluorocarbons (HFCS),148.0,473.4049560693992,1,0,0,0,0,0,0,0
2024,7(a),10.1681,45.1642,Ammonia (NH3),12880.0,408.2969907889651,0,0,1,0,0,0,0,0
2022,3(c),12.259722,45.815833,Nitrogen oxides (NOX),246526.0,435.5224044699912,0,0,0,1,0,0,0,0
2021,6(b),10.5167,44.9167,Zinc and compounds (as Zn),4306.0,371.29893725265117,0,0,0,0,0,1,0,0
2022,2(b),17.1999,40.5167,Zinc and compounds (as Zn),1255.94,422.49503361756746,0,0,0,0,0,0,1,0
2024,7(a),7.7055,44.717694,Ammonia (NH3),17100.0,498.0765493632422,0,0,1,0,0,0,0,0
2023,1(c),8.2991,40.8516,Fluorine and inorganic compounds (as HF),8233.1541,369.15699948624194,0,1,0,0,0,0,0,0
2022,2(e),14.326944,41.030278,Nitrogen oxides (NOX),184900.0,180.7619232906541,0,0,0,0,0,0,1,0
2023,4(a),12.2667,45.4594,Carbon dioxide (CO2),295889970.0,395.9064965826192,1,0,0,0,0,0,0,0
2023,1(c),18.0321,40.5638,Nitrous oxide (N2O),17585.9,486.1548254028064,0,1,0,0,0,0,0,0
2023,7(a),10.7983,43.5044,Ammonia (NH3),20131.0,225.75389188624004,0,0,1,0,0,0,0,0
2022,7(a),10.6975,45.0417,Ammonia (NH3),22979.0,377.9861726675765,0,0,1,0,0,0,0,0
