,Samplingpoint,Start,End,Value,Unit,Validity,Verification,Year,Air Quality Network,Air Quality Station Name,Pollutant,Air Pollutant Description,Longitude,Latitude,Altitude,Date,wind_station,wind_speed_10m,wind_direction_10m
0,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 00:00:00,2021-01-01 01:00:00,2.3443,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,5.0911684,44.999897
1,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,,ug.m-3,-1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,7.24486,63.435013
2,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,2.32277,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,8.0899935,122.27562
3,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 03:00:00,2021-01-01 04:00:00,2.04669,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,7.2,126.86999
4,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 04:00:00,2021-01-01 05:00:00,1.75685,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,9.178235,115.55992
5,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 05:00:00,2021-01-01 06:00:00,1.48909,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,11.966954,105.7087
6,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 06:00:00,2021-01-01 07:00:00,1.27134,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,10.966713,113.19862
7,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 07:00:00,2021-01-01 08:00:00,1.1493,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,11.620809,106.18928
8,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 08:00:00,2021-01-01 09:00:00,0.74093,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,13.004922,131.63345
9,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 09:00:00,2021-01-01 10:00:00,0.53363,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,16.923828,150.70874
10,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 10:00:00,2021-01-01 11:00:00,0.50186,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,17.992796,160.11475
11,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 11:00:00,2021-01-01 12:00:00,0.43723,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,18.58451,148.46526
12,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 12:00:00,2021-01-01 13:00:00,0.76002,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,18.079027,167.34744
13,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 13:00:00,2021-01-01 14:00:00,0.77748,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,19.09358,134.23619
14,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 14:00:00,2021-01-01 15:00:00,0.79941,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,20.592503,126.46933
15,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 15:00:00,2021-01-01 16:00:00,0.80744,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,18.335276,133.4089
16,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 16:00:00,2021-01-01 17:00:00,0.83577,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,20.523157,127.875046
17,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 17:00:00,2021-01-01 18:00:00,0.65003,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,17.873556,124.33028
18,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 18:00:00,2021-01-01 19:00:00,0.71347,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,19.083395,125.78906
19,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 19:00:00,2021-01-01 20:00:00,0.85017,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,17.373497,124.019394
20,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 20:00:00,2021-01-01 21:00:00,1.06626,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,17.068707,117.64589
21,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 21:00:00,2021-01-01 22:00:00,1.12096,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,18.374111,124.62422
22,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 22:00:00,2021-01-01 23:00:00,0.78204,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,16.29174,135.0001
23,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-01 23:00:00,2021-01-02 00:00:00,0.44548,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-01,C.SO FRANCIA,22.545315,141.48305
24,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-02 00:00:00,2021-01-02 01:00:00,0.32301,ug.m-3,1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-02,C.SO FRANCIA,15.459054,152.24155
25,SPO.IT0825A_20_GC-PID_2006-07-26_00:00:00,2021-01-02 01:00:00,2021-01-02 02:00:00,,ug.m-3,-1.0,1.0,2021.0,NET.IT112A,C.SO FRANCIA,C6H6,Benzene (air),12.4696,41.9474,35.0,2021-01-02,C.SO FRANCIA,23.510508,154.61214
